age,covid_trouble_bills,education,enthusiasm,factory_farming_ban,gender,gss_bible,gss_spanking,gss_trust,id,income,loc_county,lv_likely,race,rigged_who_actually_won,social_fb,survey_method,vote2016,vote2020,vote_method,vote_ossoff_perdue,vote_warnock_loeffler,birth_control,covid_know_dead,covid_positive,covid_reduced_work,loc_east_west,loc_north_south,lv_thought,rigged_trump_concede,rigged_vote_counts,slaughterhouse_ban,urban_rural,vegetarian_imperative,weight,lv_index,lv_weight
18-34,No,Graduated from college,More enthusiastic,Don't know,Female,Book of fables,Agree,Can trust,prolific_eb0d0a52f37a0d36369d860c8356692a6701bf1e26766cb14401448a,"Between $75,000 and $99,999",Another county in Georgia,Very likely,"White, not Hispanic",Joe Biden,No,Online,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Disagree,No,Yes,No,Closer to South Carolina,Closer to Tennessee,Some,Yes,Definitely Yes,Disagree,Suburban,Disagree,0.3987092067216926,0.83,0.44502563405195145
18-34,Yes,"Some college, no degree",More enthusiastic,Don't know,Male,Book of fables,Disagree,Can't be too careful,prolific_614afe51aea51a87abae4c26b2d5080d1e8c76052d7e72fc7f0d2b10,"Between $100,000 and $150,000",Another county in Georgia,Very likely,"White, not Hispanic",Joe Biden,No,Online,Hillary Clinton,Joe Biden,I will vote on election day,Jon Ossoff,Raphael Warnock,Disagree,No,No,Yes,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Definitely Yes,Disagree,Suburban,Don't know,2.1000161337827286,0.83,2.3439664690470257
18-34,No,"Some college, no degree",More enthusiastic,Don't know,Male,Book of fables,Disagree,Can trust,prolific_da3e8c3c56a978f084d3304a6fe7628c2c56b34150b88811bceb3886,"Between $100,000 and $150,000","Gwinnett County, GA",,"White, not Hispanic",Joe Biden,Yes,Online,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Disagree,Yes,No,No,Closer to South Carolina,Closer to Tennessee,Quite a lot,Yes,Definitely Yes,Don't know,Suburban,Don't know,3.088206918296298,0.23,0.9551792922135929
18-34,No,"Some college, no degree",About the same,Disagree,Female,Inspired word,Disagree,Can trust,prolific_5b2791ddfcf5110888cc4756ba8399c28df920518a4c821e84086ae0,"Under $15,000","Cobb County, GA",,Hispanic,Joe Biden,No,Online,Did not vote,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Disagree,No,No,Yes,Closer to Alabama,Closer to Tennessee,Only a little,Yes,Probably Yes,Don't know,Suburban,Disagree,2.608793064601813,0.23,0.8068970696927271
18-34,No,Graduated from college,More enthusiastic,Don't know,Female,Book of fables,Disagree,Can't be too careful,prolific_9860a56073a481eafe1b909c634ba02576ba80803023aabaa039e290,"Between $50,000 and $74,999",Another county in Georgia,Likely,"White, not Hispanic",Joe Biden,No,Online,Did not vote,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Disagree,No,No,Yes,Closer to Alabama,Closer to Florida,Quite a lot,Yes,Definitely Yes,Disagree,Suburban,Disagree,0.2806178316625736,0.63,0.23774231373752874
35-54,No,Graduated from college,About the same,Don't know,Female,Book of fables,Agree,Can't be too careful,prolific_6da956cdbb5b6e3a2d1b8e861209a5fb96dd195b26345dc7aa551fb1,"Between $100,000 and $150,000",Another county in Georgia,Very likely,"White, not Hispanic",Joe Biden,Yes,Online,Donald Trump,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Disagree,Yes,No,No,Closer to Alabama,Closer to Florida,Some,Yes,Probably Yes,Don't know,Suburban,Don't know,0.5201020248102666,0.83,0.580520162215506
35-54,Yes,"Some college, no degree",Less enthusiastic,Agree,Female,Book of fables,Disagree,Can't be too careful,prolific_6de2d3d8c050fc33566e0ae1d307ebb31ab632a34673ad252da56849,"Under $15,000",Another county in Georgia,Likely,"White, not Hispanic",Donald Trump,Yes,Online,Hillary Clinton,Donald Trump,I will vote on election day,David Perdue,Kelly Loeffler,Disagree,No,No,Yes,Closer to South Carolina,Closer to Florida,Some,No,Don’t know / not sure,Disagree,Suburban,Agree,1.1040455667803093,0.63,0.9353587616400187
18-34,No,"Some college, no degree",More enthusiastic,Agree,Female,Inspired word,Don't know,Don't know,prolific_96d7fd03e77df4fa6753eb3442766d274fd1902ae66cfd1b672882e3,"Between $15,000 and $49,999","Gwinnett County, GA",,Hispanic,Joe Biden,Yes,Online,Did not vote,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Disagree,Yes,No,Yes,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Definitely Yes,Agree,Suburban,Agree,7.094922410855614,0.23,2.1944523621655887
18-34,Unsure,"Some college, no degree",More enthusiastic,Don't know,Female,Inspired word,Don't know,Can't be too careful,prolific_907ea9b3e6b6d9c072ab00c6a0d368a049422867308fa5ff11df9014,"Under $15,000","Fulton County, GA",Very likely,"White, not Hispanic",Joe Biden,No,Online,Did not vote,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Disagree,No,No,No,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Probably Yes,Agree,Urban,Disagree,0.20044082519717182,0.83,0.2237252208362777
35-54,No,"Some college, no degree",More enthusiastic,Don't know,Male,Inspired word,Agree,Can't be too careful,prolific_b1ee95134d71be0244ccf9cfbde007c8331d7911023b3f90f6038e44,"Between $50,000 and $74,999",Another county in Georgia,Very likely,"White, not Hispanic",Joe Biden,Yes,Online,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Disagree,Yes,No,No,Closer to Alabama,Closer to Florida,Quite a lot,Yes,Probably Yes,Disagree,Suburban,Disagree,1.844773246364873,0.83,2.059073053255727
18-34,No,Completed graduate school,More enthusiastic,Disagree,Male,Book of fables,Disagree,Can trust,prolific_3c8cb1c339a014cba7681d67f2e51ae3f1bbba8821c9f8b58faca224,"Between $15,000 and $49,999",Another county in Georgia,,"White, not Hispanic",Joe Biden,No,Online,Donald Trump,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Disagree,Yes,No,No,Closer to South Carolina,Closer to Tennessee,Quite a lot,Yes,Definitely Yes,Disagree,Urban,Disagree,0.10980982043454454,0.23,0.033964066960459574
18-34,Yes,"Some college, no degree",More enthusiastic,Disagree,Female,Book of fables,Disagree,Can trust,prolific_cbfbd1b07a37fce675995d006ffd3483e7e764c62cb799a35b6d6bf5,"Under $15,000",Another county in Georgia,,"Black, non-Hispanic",Joe Biden,Yes,Online,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Disagree,No,No,Yes,Closer to Alabama,Closer to Florida,Quite a lot,Yes,Definitely Yes,Disagree,Rural,Disagree,0.8210763441818295,0.23,0.253958087018856
18-34,No,"Some college, no degree",More enthusiastic,Don't know,Female,Word of God,Agree,Can't be too careful,prolific_afd7c52bf803be1acaac1e9b3ad607f5b224ee73fc99b00bbecb5205,"Between $50,000 and $74,999",Another county in Georgia,Very likely,"White, not Hispanic",Joe Biden,Yes,Online,Did not vote,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Disagree,Yes,Yes,Yes,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Definitely Yes,Agree,Suburban,Disagree,0.6145023149993653,0.83,0.6858865502693842
65 or older,No,Graduated from college,More enthusiastic,Don't know,Male,Book of fables,Disagree,Can't be too careful,prolific_6f4d7685cd2576a33a47ff1cec653a424a9bdc8a1c5dd8025ad3b4f0,"Between $15,000 and $49,999","Cobb County, GA",Very likely,"White, not Hispanic",Donald Trump,Yes,Online,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Disagree,No,No,Yes,Closer to Alabama,Closer to Florida,Quite a lot,No,Don’t know / not sure,Disagree,Suburban,Disagree,0.1288026644626289,0.83,0.1437651462612778
35-54,Yes,Graduated from college,More enthusiastic,Don't know,Male,Book of fables,Disagree,Can't be too careful,prolific_fc3b15fc9fc020d7360566d2066a85d1a0b95fbc271a184b8866ad7a,"Between $50,000 and $74,999","DeKalb County, GA",,"Black, non-Hispanic",Joe Biden,Yes,Online,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Disagree,Yes,No,Yes,Closer to South Carolina,Closer to Tennessee,Quite a lot,Yes,Definitely Yes,Don't know,Urban,Don't know,4.1887364239908695,0.23,1.295571960878892
35-54,Yes,"Some college, no degree",Less enthusiastic,Disagree,Male,Book of fables,Don't know,Don't know,prolific_b62cd56b2a955ada69470e8eb451b5ed84c91c9f9a24c7b97d72648e,"Between $15,000 and $49,999",Another county in Georgia,,"White, not Hispanic",Don't know / Not sure,Yes,Online,Other,Other,Absentee by mail,Jon Ossoff,Raphael Warnock,Disagree,No,No,Yes,Closer to South Carolina,Closer to Florida,Quite a lot,Yes,Definitely Yes,Disagree,Urban,Disagree,0.1971587675146097,0.23,0.06098100839441247
18-34,Yes,"Some college, no degree",About the same,Don't know,Female,Book of fables,Don't know,Don't know,prolific_11e31d508aee20692f2c3beddefa4ca700e44659a1f92a42ab2afc12,"Between $15,000 and $49,999","Gwinnett County, GA",Very likely,"White, not Hispanic",Joe Biden,Yes,Online,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Disagree,No,No,No,Closer to South Carolina,Closer to Florida,Quite a lot,Yes,Don’t know / not sure,Disagree,Suburban,Don't know,0.8531131236871271,0.83,0.9522158063731729
35-54,Yes,Graduated from high school,More enthusiastic,Don't know,Female,Inspired word,Agree,Can't be too careful,prolific_ba7c7a9e51377d593d14c825430efc35d410d1b98d96638b3ea92a6e,"Between $15,000 and $49,999",Another county in Georgia,,"White, not Hispanic",Donald Trump,Yes,Online,Did not vote,Did not vote,Early vote in person,Undecided,Undecided,Disagree,Yes,Yes,Yes,Closer to South Carolina,Closer to Tennessee,Only a little,Don’t know / not sure,Don’t know / not sure,Don't know,Rural,Disagree,2.04513091783157,0.11,0.3025272297354042
35-54,No,"Some college, no degree",More enthusiastic,Don't know,Male,Inspired word,Agree,Can trust,prolific_980bba37b0971d69487f8071499a8e61f7d22632f981f4a0d98d8f71,"Between $15,000 and $49,999",Another county in Georgia,Very likely,"White, not Hispanic",Joe Biden,Yes,Online,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Disagree,No,No,No,Closer to Alabama,Closer to Florida,Quite a lot,Yes,Definitely Yes,Don't know,Suburban,Disagree,0.7110770093159383,0.83,0.793679934136755
35-54,No,Completed graduate school,About the same,Don't know,Male,Word of God,Disagree,Don't know,prolific_0dad0bb9cdfbc76747ced06cda6af125e2baccfcc3ef9f71d1ff1359,"Between $75,000 and $99,999","DeKalb County, GA",Likely,"White, not Hispanic",Joe Biden,No,Online,Hillary Clinton,Other,I will vote on election day,David Perdue,Kelly Loeffler,Disagree,Yes,No,No,Closer to South Carolina,Closer to Tennessee,Only a little,Yes,Definitely Yes,Disagree,Suburban,Disagree,0.40019393576333007,0.63,0.33904841922699314
18-34,Yes,"Some college, no degree",More enthusiastic,Don't know,Female,Inspired word,Disagree,Can trust,prolific_f08bc30a0c045015da1d3a8dc16721acb53e681d900a4b995d19b758,"Under $15,000",Another county in Georgia,,"White, not Hispanic",Joe Biden,Yes,Online,Did not vote,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Disagree,No,No,Yes,Closer to South Carolina,Closer to Tennessee,Quite a lot,Yes,Probably Yes,Agree,Urban,Agree,0.19894963579036457,0.23,0.061534922149980055
18-34,Unsure,"Some college, no degree",Less enthusiastic,Agree,Male,Inspired word,Disagree,Can't be too careful,prolific_f370a85a91f38e9f432db6d560e4aacb71f0dcb7ff8393eaf67fb0c1,"Between $75,000 and $99,999",Another county in Georgia,Very likely,"White, not Hispanic",Joe Biden,Yes,Online,Hillary Clinton,Joe Biden,I will vote on election day,Jon Ossoff,Raphael Warnock,Disagree,No,No,Yes,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Probably Yes,Agree,Suburban,Disagree,0.9336044864680617,0.83,1.042057523477776
18-34,Unsure,Graduated from college,About the same,Disagree,Male,Book of fables,Disagree,Can't be too careful,prolific_fb22b2d0751695a1485c02c69bdf448e32bd2699173703a6682daf53,"Between $15,000 and $49,999","Fulton County, GA",,"White, not Hispanic",Joe Biden,Yes,Online,Did not vote,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Disagree,No,No,Yes,Closer to Alabama,Closer to Tennessee,Some,Yes,Definitely Yes,Disagree,Urban,Disagree,0.19217394565577067,0.23,0.05943920800962365
18-34,Yes,Graduated from high school,About the same,Don't know,Female,Inspired word,Disagree,Don't know,prolific_305f6dc891d5ee4e10af311b47d01a57962b374b5ae2532d115615b1,"Under $15,000","Fulton County, GA",Very likely,"Black, non-Hispanic",Joe Biden,No,Online,Did not vote,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Disagree,No,No,No,Closer to South Carolina,Closer to Tennessee,Quite a lot,Yes,Definitely Yes,Agree,Urban,Disagree,1.7021862387716415,0.83,1.8999222927716808
18-34,No,Graduated from high school,Less enthusiastic,Don't know,Male,Book of fables,Disagree,Can trust,prolific_7a7e0b54345934903c9db5ddab37e46805aad90be8c0bbe880cd4747,"Between $15,000 and $49,999",Another county in Georgia,Likely,"White, not Hispanic",Joe Biden,Yes,Online,Did not vote,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Disagree,No,No,No,Closer to South Carolina,Closer to Florida,Quite a lot,Yes,Probably Yes,Disagree,Rural,Disagree,1.2764440147562435,0.63,1.081416500251018
55-64,Yes,Graduated from college,More enthusiastic,Don't know,Female,Inspired word,Disagree,Can't be too careful,prolific_6dd2cd5e233eb01a7ec356a836668e637a00f90aca990c66a0982631,"Between $50,000 and $74,999",Another county in Georgia,,"White, not Hispanic",Joe Biden,Yes,Online,Donald Trump,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Disagree,Yes,No,Yes,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Definitely Yes,Don't know,Suburban,Disagree,0.0678922107158282,0.23,0.020998992455511015
18-34,No,"Some college, no degree",More enthusiastic,Agree,Female,Inspired word,Agree,Can't be too careful,prolific_566c8de4bdda478420402d0a93f2c48bd7a38c013d40a871f1793c89,"Under $15,000",Another county in Georgia,Likely,"White, not Hispanic",Joe Biden,No,Online,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Disagree,Yes,No,Yes,Closer to South Carolina,Closer to Florida,Some,Yes,Definitely Yes,Don't know,Suburban,Disagree,0.2954640767400742,0.63,0.25032020529248705
35-54,Yes,Graduated from college,More enthusiastic,Don't know,Female,Inspired word,Disagree,Can't be too careful,prolific_dd3903e00129768de12cc0e1399619feeadc5d62ad0592eb479fba90,"Under $15,000",Another county in Georgia,Very likely,"White, not Hispanic",Donald Trump,Yes,Online,Donald Trump,Donald Trump,I will vote on election day,Jon Ossoff,Raphael Warnock,Disagree,No,No,No,Closer to Alabama,Closer to Tennessee,Quite a lot,No,Probably Yes,Agree,Rural,Disagree,0.2550679847790135,0.83,0.2846981954240841
18-34,No,"Some college, no degree",More enthusiastic,Agree,Female,Inspired word,Don't know,Can trust,prolific_1ee0d86759821555ea9766855abe1ebe67b47de3531ea8bc5f913707,"Between $15,000 and $49,999","Gwinnett County, GA",,"White, not Hispanic",Joe Biden,Yes,Online,Did not vote,Did not vote,Early vote in person,Undecided,Undecided,Don't know,Yes,No,Yes,Closer to South Carolina,Closer to Tennessee,Quite a lot,Yes,Probably Yes,Agree,Suburban,Disagree,0.8585537076953684,0.11,0.1270020772281585
18-34,No,"Some college, no degree",Less enthusiastic,Disagree,Female,Inspired word,Agree,Can't be too careful,prolific_121b1fc7c9011b99c1b85927b00a30f658763f15a49c125a15763a81,"Between $15,000 and $49,999",Another county in Georgia,Very likely,"Black, non-Hispanic",Joe Biden,No,Online,Did not vote,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Disagree,No,No,No,Closer to South Carolina,Closer to Florida,Some,Yes,Probably Yes,Agree,Suburban,Disagree,1.085525873678451,0.83,1.211627000504044
18-34,No,Graduated from college,More enthusiastic,Agree,Female,I don't know,Disagree,Can't be too careful,prolific_88edfefe58d5ee28c175e545859606017cc6a0999c2ac635d261c220,"Between $15,000 and $49,999","Gwinnett County, GA",,"White, not Hispanic",Joe Biden,Yes,Online,Did not vote,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Disagree,Yes,No,Yes,Closer to South Carolina,Closer to Tennessee,Some,Yes,Probably No,Disagree,Suburban,Don't know,0.2623232755981261,0.23,0.08113632517059495
18-34,No,Graduated from college,More enthusiastic,Don't know,Male,Inspired word,Disagree,Don't know,prolific_f4da5e43653d85ad3b7436a93c03f446c6e545ed4ae917b87e6aa6b6,"Between $15,000 and $49,999","Cobb County, GA",,"Black, non-Hispanic",Joe Biden,Yes,Online,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Disagree,Yes,No,No,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Probably Yes,Don't know,Suburban,Disagree,0.835768084762592,0.23,0.25850222759641167
35-54,No,Graduated from college,Less enthusiastic,Disagree,Female,Inspired word,Disagree,Can't be too careful,prolific_e241f8f712689e94482f25d9a52a93870e1044be5304b32c99064579,"Over $150,000","Cobb County, GA",Very likely,"White, not Hispanic",Donald Trump,Yes,Online,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Disagree,Yes,No,Yes,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Probably Yes,Don't know,Suburban,Disagree,2.0016305041255467,0.83,2.2341517808440767
18-34,No,Graduated from high school,More enthusiastic,Don't know,Other,Book of fables,Disagree,Don't know,prolific_023ee1e41271a25bce109937167e34829b919670e0f1335ac2ac35cb,"Under $15,000",Another county in Georgia,Likely,"White, not Hispanic",Joe Biden,No,Online,Hillary Clinton,Joe Biden,Absentee by mail,David Perdue,Raphael Warnock,Disagree,No,No,Unsure,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Probably Yes,Don't know,Suburban,Disagree,0.17449330876495153,0.63,0.14783252622156665
18-34,No,"Some college, no degree",Less enthusiastic,Disagree,Male,Inspired word,Agree,Can't be too careful,prolific_a89edbfed3aea653c072438717ce79ab2bdd63d29191117ab3dafea1,"Under $15,000",Another county in Georgia,Somewhat likely,"White, not Hispanic",Joe Biden,Yes,Online,Did not vote,Did not vote,Absentee by mail,Undecided,Undecided,Disagree,No,No,No,Closer to Alabama,Closer to Florida,Only a little,Yes,Probably Yes,Disagree,Rural,Disagree,0.3179537401468723,0.23,0.09834277187543536
55-64,No,Completed graduate school,More enthusiastic,Don't know,Female,Book of fables,Disagree,Can trust,prolific_a2fbde0b401932f7be45e98115d307b44adf93183b60d56e93b9b87b,"Between $15,000 and $49,999","Fulton County, GA",Very likely,"White, not Hispanic",Joe Biden,Yes,Online,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Disagree,Yes,No,Yes,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Probably Yes,Don't know,Suburban,Disagree,0.06585284365455872,0.83,0.07350270073384678
18-34,Yes,"Some college, no degree",More enthusiastic,Don't know,Male,I don't know,Disagree,Can't be too careful,prolific_4f769311f59981115696cb04e2bd4703572e35c65b25f70be9ab9786,"Under $15,000","Fulton County, GA",Very likely,"Black, non-Hispanic",Don't know / Not sure,No,Online,Did not vote,Other,Absentee by mail,Undecided,Undecided,Disagree,No,No,Yes,Closer to South Carolina,Closer to Tennessee,Quite a lot,Don’t know / not sure,Probably Yes,Don't know,Suburban,Disagree,0.21572443794984753,0.83,0.2407842687368486
18-34,No,"Some college, no degree",More enthusiastic,Disagree,Male,Inspired word,Agree,Can't be too careful,prolific_1c0e70a2a637b9520a82dd04b93815f3d14ffffc76e58688e5d275ea,"Between $15,000 and $49,999","Cobb County, GA",,"White, not Hispanic",Donald Trump,Yes,Online,Donald Trump,Donald Trump,Early vote in person,David Perdue,Kelly Loeffler,Don't know,Yes,Yes,Yes,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Probably Yes,Disagree,Suburban,Disagree,1.0861238338917145,0.23,0.3359370088728829
55-64,No,Graduated from college,More enthusiastic,Disagree,Male,Word of God,Agree,Can trust,prolific_a3d3fe8438620ae4fbb95338f94c18c1e2bdee956b8e9e023191f024,"Over $150,000",Another county in Georgia,Very likely,"White, not Hispanic",Joe Biden,Yes,Online,Donald Trump,Donald Trump,I will vote on election day,David Perdue,Kelly Loeffler,Disagree,No,No,No,Closer to South Carolina,Closer to Florida,Quite a lot,Yes,Definitely Yes,Disagree,Urban,Agree,0.566316179567535,0.83,0.6321028274168746
18-34,Unsure,Graduated from college,More enthusiastic,Don't know,Female,Inspired word,Agree,Can't be too careful,prolific_82106b62f42182b564ead5587e55ca78f58d406ecba1de0c20ce0e6f,"Between $15,000 and $49,999",Another county in Georgia,Very likely,"Black, non-Hispanic",Joe Biden,Yes,Online,Other,Did not vote,Absentee by mail,Jon Ossoff,Raphael Warnock,Disagree,No,No,Yes,Closer to Alabama,Closer to Florida,Quite a lot,Yes,Probably No,Agree,Rural,Don't know,0.8423244266258656,0.59,0.6683163371605807
18-34,Yes,Graduated from college,More enthusiastic,Agree,Male,Book of fables,Agree,Can't be too careful,prolific_8a53c8570294f822ddb15c2c96ea3f9cb5c4cc0e4f04d3eb54987386,"Under $15,000",Another county in Georgia,,"White, not Hispanic",Joe Biden,Yes,Online,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Disagree,No,No,Yes,Closer to South Carolina,Closer to Florida,Quite a lot,Yes,Definitely Yes,Agree,Suburban,Agree,0.1442762461198219,0.23,0.04462449774187814
